TLC,CMax.Temp (?C),CMin.Temp (?C),CMean RH. (%),CRainfall(mm),CSunshine (h/day),CWind (km/h)
6,33.19,25.39,65,78.86,10.2,7.43
22,31.64,25.29,71,83.14,58.8,7.29
34,31.23,19.31,46.14,69.57,0,9.43
50,30.41,19.24,57.86,74.64,0,7.29
58,30.79,19.77,59,75.64,8,6.86
62,28.86,17.8,61,77.86,0,6.86
66,29.53,15.44,49,70.43,0,8.57
84,28.94,16.11,53.29,72.36,0,7.14
62,26.17,16.06,60.43,77.64,0,5.14
64,21.8,10.29,61.86,80,0,5.86
72,23.4,10.47,56.43,76,0,6.43
6,33.74,22.51,58.43,76.07,0,8.29
14,33.3,20.26,49.57,70.36,0,9.14
18,32.63,19.06,53.57,71.79,0,8.29
24,28.34,21.41,75.43,86.21,50.1,3.43
38,29.5,16.4,50.43,72.71,0,8.29
40,30.4,18.26,51.14,69.93,0,6.43
40,28.94,12.29,42,67,0,8.14
42,28.76,11.13,43.86,67.29,0,8
42,28,14.2,60.43,77.5,7.3,5.14
44,26.27,13.74,59.57,78.71,0,5.29
44,18.79,9.79,75.43,86.07,0,2.29
46,25,10.17,53.71,75.07,1.9,5.29
46,21.71,8.57,51.57,73.07,0,4.43
44,26.51,10.2,49.86,70.57,0,4.86
46,25.11,10.67,49.43,71.93,0,7
2,29.76,15.09,50.14,65.57,0,9.57
2,29.19,14.96,52.14,66.43,0,7.71
4,29.5,15.84,60.29,70.29,0,6.57
4,27.87,13.94,57.43,70.29,0,7.71
22,27.31,12.77,56.86,70.43,0,6.14
10,27.51,11.36,60.29,71.36,0,4.86
12,26.27,12.57,58.71,72.71,0,5.86
18,24.73,10.16,57.43,71.07,0,6.86
46,24.01,8.77,59.86,71.21,0,5.43
60,22.31,11.9,70.57,80.86,0,3.14
66,25.8,11.67,63.71,75.14,0,7
66,24.9,9.5,58.86,73.29,0,7.29
68,29.41,11.44,48.14,67,0,8.29
68,29.03,14.14,47.86,64.64,0,6.86
70,26.2,13.04,59.14,72.5,28.5,7.86
6,33.19,25.47,79.71,86.57,45.3,5
16,33.59,20.97,60,71.93,0,9.29
24,31.01,21.17,69,76.79,1,5.29
30,32.77,19.56,57.86,70.21,0,7.86
36,34.03,19.61,54.29,67.64,0,7
58,31.76,14.26,47.43,62.21,0,7.71
58,30.71,12.23,44.86,61.21,0,7.57
58,30.87,13,51.86,67.21,0,5.43
58,28.27,13.56,59.43,73.36,0,5.57
54,25.49,13.69,60.57,74.57,0,4.14
56,26.84,9.8,50.43,67.14,0,7.43
56,24.19,11.03,63.57,75.93,0,3.71
54,27,15.16,64.14,75.93,2.5,4.43
54,25.03,9.44,58.14,71.64,0,6.29
54,25.87,9.81,57.57,71.14,0,7.43
56,28.97,11.77,52,64.64,0,7.29
22,32.03,20.93,66.29,74.57,0.2,6.71
34,32.26,20.04,61.71,73.14,0.8,7.57
44,33.27,19.93,57.14,69.36,0,7
66,33.01,16.19,48.14,62.86,0,7.57
78,31.64,13.61,47.14,62.29,0,7.43
80,30.49,12.09,47.43,64.36,0,6.86
80,29.03,13.96,60.43,73.71,0,4.86
80,26.63,13.51,59.14,73.43,0,3.57
80,26.43,11.3,52.14,67.86,0,7.43
82,25.36,8.77,54.43,71.29,0,7
82,26.21,16.73,70.86,79.79,2.5,1.71
82,24.96,10.23,59.29,72.21,0,6
82,25.66,9.6,57.71,71.07,0,7
4,33.59,20.97,60,71.93,0,9.29
14,31.01,21.17,69,76.79,1,5.29
26,32.77,19.56,57.86,70.21,0,7.86
38,34.03,19.61,54.29,67.64,0,7
38,31.76,14.26,47.43,62.21,0,7.71
38,30.71,12.23,44.86,61.21,0,7.57
38,30.87,13,51.86,67.21,0,5.43
38,28.27,13.56,59.43,73.36,0,5.57
38,25.49,13.69,60.57,74.57,0,4.14
38,26.84,9.8,50.43,67.14,0,7.43
36,24.19,11.03,63.57,75.93,0,3.71
36,27,15.16,64.14,75.93,2.5,4.43
38,25.03,9.44,58.14,71.64,0,6.29
36,25.87,9.81,57.57,71.14,0,7.43
8,35.01,25.23,71,79.79,49.5,6.14
14,33.43,24.04,72.14,81.93,24.4,7.43
20,32.91,20.51,61.71,71.93,0,8.14
22,31.37,20.4,66.29,75.71,1,6.43
26,33.09,19.86,57.43,69.79,0,7
30,33.49,16.9,47.86,62.93,0,7.86
30,31.79,14.01,48.14,62.79,0,7.29
30,30.49,11.9,46,63.14,0,7.43
30,29.4,14.21,59.71,73.07,0,4.43
34,26.34,12.79,59.71,73.43,0,3.71
38,26.84,12.41,53.71,69.29,0,7
36,25.46,8.91,53.43,70.64,0,7.14
36,26.04,15.89,70.43,78.86,2.5,1.57
38,25.31,11.16,59.57,72.86,0,6
38,25.87,9.3,55.43,69.64,0,7.43
38,27.56,10.04,54.29,68.07,0,7.57
4,36.49,25.43,65.57,77.5,7,8.29
8,35.74,25.31,67.71,77.71,28.6,7.29
12,32.93,24.54,76.29,84.79,45.3,6
16,33.77,20.37,57.86,70.29,0,9.57
26,30.66,20.84,70.43,77.64,1,5.14
38,33.09,19.49,56.14,69.71,0,7.86
50,33.56,18,50.43,64.43,0,7.29
62,31.73,14.21,48.57,62.93,0,7.29
72,30.4,11.89,45.43,62.5,0,7.29
72,30.57,13.86,56.57,70.5,0,5
72,26.31,12.71,59.71,73.79,0,4.29
72,26.56,13.13,56.86,71.29,0,6.29
74,25.79,9.27,52.86,69.36,0,6.86
74,25.86,14.39,66.86,77.43,0.1,2.29
72,26.21,12.31,59.71,72.86,2.4,6.14
72,25.37,9.64,57.43,71.5,0,6.57
74,26.66,9.6,55.71,69.29,0,7.43
4,32.44,19.76,59.71,71.71,0,8
16,33.47,19.71,56.57,68.93,0,6.86
20,32.54,15.77,47.14,62.21,0,7.71
20,31.31,13.04,45.86,61.93,0,7.57
20,30.66,12.43,49.29,66,0,6.57
20,28.94,13.67,60.29,72.93,0,5
22,26.31,13.86,59.86,74.07,0,3.71
22,26.31,10.53,51.43,67.07,0,7.43
24,24.79,9.04,56,72.21,0,5.86
24,26.64,16.81,69.43,79.29,2.5,2.71
22,24.91,9.79,59.57,72,0,5.86
20,25.53,9.77,58.14,71.79,0,7.14
22,28.86,10.53,50.14,64.29,0,8.14
2,35.01,26.04,64.14,78.79,32.4,7.43
4,33,24.73,66.86,81.93,7,7
8,33.36,23.79,65.14,79.64,2.2,7.57
10,33.33,21.36,53.43,72.93,0,9
10,31.37,21.36,63.57,78.79,0,5.86
8,32.36,20.03,50.57,71.57,0,8.14
10,32.07,18.97,52.29,72.93,0,6.14
14,30.21,17.14,48.86,71.36,0,8.14
14,30.4,18.5,58.43,75.57,0,3.71
14,28.74,17.91,59.57,76.64,0,3.57
14,26.63,17.19,57.71,75.14,0,2
16,23.73,12.27,58.43,76.78,6.6,3.71
22,24.91,11.37,47,68.71,0,4.29
22,26.24,11.47,57.14,75,0,3.29
22,27.2,12.13,47.86,70.36,0,6
22,25.96,13.2,57.29,74.43,0,2.71
24,22.93,9.56,51.14,72.64,3,6.14
24,28.31,14.83,50.86,71.79,0,5.43
24,27.93,14.13,56.86,74,0,5.14
4,31.37,21.36,63.57,78.79,0,5.86
4,32.36,20.03,50.57,71.57,0,8.14
8,32.07,18.97,52.29,72.93,0,6.14
8,30.21,17.14,48.86,71.36,0,8.14
10,30.4,18.5,58.43,75.57,0,3.71
10,28.74,17.91,59.57,76.64,0,3.57
10,26.63,17.19,57.71,75.14,0,2
10,23.73,12.27,58.43,76.78,6.6,3.71
10,24.91,11.37,47,68.71,0,4.29
18,26.24,11.47,57.14,75,0,3.29
22,27.2,12.13,47.86,70.36,0,6
22,25.96,13.2,57.29,74.43,0,2.71
26,22.93,9.56,51.14,72.64,3,6.14
26,28.31,14.83,50.86,71.79,0,5.43
26,27.93,14.13,56.86,74,0,5.14
12,31.36,24.83,76.29,85.43,60.4,6.57
20,31.61,21.5,47.14,70.36,0,9.43
24,30.59,19.44,57,74.5,0,7.14
26,31.17,19.06,54.71,73.21,8,8.57
28,28.8,18.73,65.29,80.29,0,5.57
30,29.8,16.17,49.29,70.5,0,9.14
38,28.86,15.89,52.57,71.93,0,6.86
44,27.56,16.41,60,77.07,0,6.14
48,22.73,11.57,57.86,77.36,0,5.43
52,21.87,9.76,62.14,80,0,5.86
54,26.2,14.79,60.29,76.14,2.5,6.14
58,22.44,16.79,77.29,87.14,52.3,1
62,21.64,10.37,60.86,79.21,2.2,6.43
62,24.87,13.46,56.57,76.07,0,6.71
64,25.34,11.7,45,68.21,0,7.86
64,26.53,10.27,39.43,65,0,9.29
66,27.26,12.79,42.71,65.36,0,8.57
6,33.81,21.71,52.29,72.57,0,9.43
14,32.79,19.41,49.29,70.14,0,9.14
18,30.9,19.9,64,77.93,7.8,5.57
24,29.19,20.09,66.71,81.57,42.3,5.43
34,30.13,16.91,51.29,72.5,0,7.86
38,29.97,16.97,47.86,68.5,0,7.29
40,28.57,11.69,41.86,66.71,0,8.14
40,29.01,10.69,42.57,66.71,0,8
70,27.43,16.03,68.29,82.28,7.3,3.86
72,24.04,12.2,61.14,79.71,0,5.14
78,20,8.73,71.57,84.14,0,3.14
80,24.9,11.04,54,74.71,1.9,4
84,21.57,7.67,48.57,71.43,0,5.14
80,27.71,12.29,53.71,72.29,0,4.71
10,33.46,24.1,68.71,82.07,26.7,5.86
18,33.83,21.36,50,70.79,0,9.71
30,32.79,19.07,50.29,70.57,0,9.14
36,30.47,20.61,69.86,81.57,7.9,4.57
40,29.1,19.36,60.86,78.5,42.2,5.86
42,30.5,17.27,51,71.86,0,8.14
44,29.53,15.9,46.71,68.21,0,7.29
48,28.49,11.53,42.14,66.36,0,8.14
52,29.34,10.66,42,66.93,0,8
52,26.8,16.26,71.43,84,7.3,3.43
54,22.73,12.01,64.29,81.28,0,4.43
54,21.23,8.09,66.14,81.57,0,4.29
56,24.03,11.99,57.14,76,1.9,2.86
56,22.56,6.94,45.86,70,0,5.86
56,27.37,12.96,54.43,72.71,0,4.71
56,24.14,7.41,42.14,68.36,0,8
10,33.46,24.1,68.71,82.07,26.7,5.86
18,33.83,21.36,50,70.79,0,9.71
30,32.79,19.07,50.29,70.57,0,9.14
44,30.47,20.61,69.86,81.57,7.9,4.57
48,29.1,19.36,60.86,78.5,42.2,5.86
52,30.5,17.27,51,71.86,0,8.14
56,29.53,15.9,46.71,68.21,0,7.29
58,28.49,11.53,42.14,66.36,0,8.14
58,29.34,10.66,42,66.93,0,8
62,26.8,16.26,71.43,84,7.3,3.43
62,22.73,12.01,64.29,81.28,0,4.43
62,21.23,8.09,66.14,81.57,0,4.29
62,24.03,11.99,57.14,76,1.9,2.86
64,22.56,6.94,45.86,70,0,5.86
62,27.37,12.96,54.43,72.71,0,4.71
64,24.14,7.41,42.14,68.36,0,8
12,32.84,18.79,50.43,70.86,0,9.43
32,28.99,21.54,77.71,86.5,50.1,2.71
32,29.53,17.74,53.71,74.57,0,7.57
38,30.44,18.27,49.86,70.07,0,7
34,29.3,13.66,44,67.43,0,8
34,28.64,11.1,44,67.43,0,8.14
36,28.54,12.23,49.86,71.29,7.3,6.57
42,26.77,15.54,65,81.29,0,4.29
38,20.37,11.03,70.57,83.64,0,3.14
40,23.76,7.97,57.29,77.14,0,5.57
40,21.94,11,57.14,76.21,1.9,3.14
42,24.79,8.26,46.57,69.79,0,5.14
40,26.59,12.24,53.14,72.93,0,6.14
38,24.73,7.06,41.43,67.71,0,7.71
40,28.8,11.84,48.14,69.5,0,5.71
22,33.73,22.16,62.86,75.07,4.3,9.14
34,31.8,21.43,69,76.36,1,5.86
40,32.44,19.76,59.71,71.71,0,8
54,33.47,19.71,56.57,68.93,0,6.86
62,32.54,15.77,47.14,62.21,0,7.71
64,31.31,13.04,45.86,61.93,0,7.57
64,30.66,12.43,49.29,66,0,6.57
66,28.94,13.67,60.29,72.93,0,5
66,26.31,13.86,59.86,74.07,0,3.71
66,26.31,10.53,51.43,67.07,0,7.43
68,24.79,9.04,56,72.21,0,5.86
68,26.64,16.81,69.43,79.29,2.5,2.71
66,24.91,9.79,59.57,72,0,5.86
66,25.53,9.77,58.14,71.79,0,7.14
68,28.86,10.53,50.14,64.29,0,8.14
8,32.44,19.76,59.71,71.71,0,8
14,33.47,19.71,56.57,68.93,0,6.86
36,32.54,15.77,47.14,62.21,0,7.71
34,31.31,13.04,45.86,61.93,0,7.57
36,30.66,12.43,49.29,66,0,6.57
36,28.94,13.67,60.29,72.93,0,5
38,26.31,13.86,59.86,74.07,0,3.71
38,26.31,10.53,51.43,67.07,0,7.43
40,24.79,9.04,56,72.21,0,5.86
40,26.64,16.81,69.43,79.29,2.5,2.71
38,24.91,9.79,59.57,72,0,5.86
40,25.53,9.77,58.14,71.79,0,7.14
40,28.86,10.53,50.14,64.29,0,8.14
2,33.97,26.14,65.71,79.93,7,6.86
8,32.76,23.84,65.57,81.07,2.2,7.14
10,34.09,23.86,59.14,76.14,0,8.43
14,32.04,20.36,57.29,74.71,0,7.29
14,32.61,21.37,57.43,75.64,0,7.43
14,31.66,18.67,51.43,72.21,0,8
16,31.09,18.89,52.43,73.29,0,6.29
16,30.39,16.69,49.57,71,0,6.86
16,30.01,19.16,62.43,77.93,0,3.14
16,28.23,17.34,60.43,77.57,0,3
18,24.26,15.27,57,74.93,6.6,2.29
18,23.93,12.71,53.29,72.79,0,3.57
18,26.34,10.43,49.86,70.79,0,5
18,27.16,12.26,54.43,74.14,0,3.86
22,26.57,11.27,46.57,69,0,5.71
28,23.54,13.37,62.57,77.71,3,3.43
28,25.29,10.46,47.86,70.29,0,5.86
28,28.34,14.26,49.43,70.36,0,6
18,30.77,18.79,55,73.07,0,8.29
22,30.16,19.91,62.43,78.29,8,6.14
30,29.24,17.21,57.29,75.21,0,7.71
38,28.61,15.06,51,71.29,0,7.71
40,29.01,16.31,54.57,73.29,0,7.29
48,24.66,14.67,58.57,77.29,0,5
54,21.39,10.11,64.29,81.36,0,5.43
38,23.4,16.5,71.86,84.29,20,2
40,21.03,13.03,72.57,84.93,37,4
42,24.93,13.36,58.14,77.36,0,6.71
44,25.01,10.63,43.86,67.64,0,8.71
46,24.97,10.47,41.71,66.5,0,8.29
48,27.86,13.26,42.29,65.64,0,8.71
4,30.84,18.9,51.71,72.29,0,8.43
6,30.77,18.79,55,73.07,0,8.29
12,30.16,19.91,62.43,78.29,8,6.14
18,29.24,17.21,57.29,75.21,0,7.71
20,28.61,15.06,51,71.29,0,7.71
24,29.01,16.31,54.57,73.29,0,7.29
36,24.66,14.67,58.57,77.29,0,5
42,21.39,10.11,64.29,81.36,0,5.43
44,25.36,12.04,53.14,73.21,0,7
4,28.5,21.8,78.43,87.21,50.1,2.71
24,29.61,16.94,51.43,73.43,0,7.86
24,30.43,18.27,50.29,69.79,0,6.86
28,29.03,12.87,42.86,67.14,0,8
34,28.79,11.1,44.29,67.5,0,8.14
30,28.14,13.14,55.14,74.5,7.3,5.71
30,26.64,14.76,61.29,79.43,0,4.86
40,19.47,10.33,73.29,85,0,2.71
42,24.4,9.33,56.86,76.78,1.9,5.14
46,21.79,9.49,53.86,74.29,0,4
46,25.77,9.27,48.57,70.36,0,5
44,25.96,11.67,50.43,72.43,0,6.71
42,25.17,7.17,41.86,67.36,0,7.43
50,29.14,12.94,48.57,69.57,0,5.57
62,24.31,8.23,43.43,69.14,0,8.43
50,26.79,9.57,47.14,69.57,0,5.29
22,30.47,20.61,69.86,81.57,7.9,4.57
22,29.1,19.36,60.86,78.5,42.2,5.86
28,30.5,17.27,51,71.86,0,8.14
30,29.53,15.9,46.71,68.21,0,7.29
30,28.49,11.53,42.14,66.36,0,8.14
30,29.34,10.66,42,66.93,0,8
30,26.8,16.26,71.43,84,7.3,3.43
30,22.73,12.01,64.29,81.28,0,4.43
30,21.23,8.09,66.14,81.57,0,4.29
30,24.03,11.99,57.14,76,1.9,2.86
30,22.56,6.94,45.86,70,0,5.86
32,27.37,12.96,54.43,72.71,0,4.71
30,24.14,7.41,42.14,68.36,0,8
18,29.46,18.6,56.71,76.21,0,7
24,30.44,17.96,50.29,70.57,0,7.29
30,29.44,14.61,45,67.93,0,8
32,28.54,11.24,43.43,66.93,0,8.14
60,29.07,11.11,45.71,68.86,0,7
62,26.7,16.3,68.57,83.07,7.3,4.14
64,21.66,11.66,67.14,82.14,0,4
66,22.4,7.7,60.86,79.28,0,5
66,23.09,11.87,56.86,75.79,1.9,2.71
66,23.5,7.23,47,70.43,0,5.43
64,27.01,12.83,54.29,72.86,0,5.43
64,24.46,7.1,41.57,68,0,8
64,28.21,11.09,47.71,69.71,0,5.71
64,29.06,12.29,41.29,65.93,0,7.71
36,27.3,14.74,53.29,71.93,9,6.43
14,28.5,21.8,78.43,87.21,50.1,2.71
24,29.61,16.94,51.43,73.43,0,7.86
32,30.43,18.27,50.29,69.79,0,6.86
44,29.03,12.87,42.86,67.14,0,8
44,28.79,11.1,44.29,67.5,0,8.14
44,28.14,13.14,55.14,74.5,7.3,5.71
52,26.64,14.76,61.29,79.43,0,4.86
36,19.47,10.33,73.29,85,0,2.71
54,24.4,9.33,56.86,76.78,1.9,5.14
54,21.79,9.49,53.86,74.29,0,4
60,25.77,9.27,48.57,70.36,0,5
62,25.96,11.67,50.43,72.43,0,6.71
58,25.17,7.17,41.86,67.36,0,7.43
60,29.14,12.94,48.57,69.57,0,5.57
2,29.86,18.5,58.57,73.07,0,9
8,29.74,14.81,49.86,65.14,0,8.86
16,28.93,14.63,53.43,66.57,0,7.29
18,29.36,15.37,60.86,70.93,0,7
24,27.64,14.04,58.57,71.07,0,6.43
26,27.29,11.63,55.14,69.29,0,7.43
28,28.19,12.54,62.14,72.93,0,4.43
32,24.79,11.74,57.71,72.79,0,6
32,24.3,9.8,60.57,71.14,0,6
36,24.36,10.04,57.71,70.93,0,5.57
44,22.83,11.59,71.86,81.93,0,3.71
46,25.39,10.67,60.86,73,0,7.86
48,25.4,9.11,58.57,74.14,0,7
48,30.69,13.43,44.57,63.93,0,8.43
48,28.37,12.7,53.86,69.14,0,8.57
2,29.56,15.37,51.29,66.43,0,9.71
4,29.49,15.03,51.14,66.29,0,7.86
6,29.49,15.49,58.86,69.57,0,6.86
12,28.31,14.59,58.43,70.57,0,7.71
22,27.23,13.2,58.14,71.14,0,6
32,27.23,10.86,57.71,69.5,0,5.14
38,26.63,13.04,60.57,73.71,0,5.71
46,25.2,10.76,57.57,71.71,0,6.57
60,23.6,8.49,58.86,71,0,5.86
60,22.06,11.64,71.43,79.93,0,2.86
66,25.87,11.63,63.29,75.79,0,6.71
66,25.1,9.66,59.14,72.57,0,7.43
68,28.59,10.66,49.29,68.29,0,8.29
68,29.76,13.94,45.43,63.5,0,7.86
4,32.07,19.4,57.71,75.36,0,8.43
10,29.5,16.9,54.29,69.21,0,9.43
16,29.9,14.63,51.14,65.93,0,8.57
28,29.04,15.44,59.29,70.79,0,7.57
